"comment_id","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"11","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","I remember on September 11th hundreds of resources were going into New York to assist, yet on January 6th considering it was an “””insurrection””” you would think tones of FBi vehicles arriving , helicopters, ambulances . But if you look for the aftermath pictures there was none of that ,no movies about it, no curiosity from the left about how to secure the building how security failed. There is no Jan 6th memorial bcs no one died that day other than an “insurrectionist”","I remember on September 11th hundreds of resources were going into New York to assist, yet on January 6th considering it was an “””insurrection””” you would think tones of FBi vehicles arriving , helicopters, ambulances . But if you look for the aftermath pictures there was none of that ,no movies about it, no curiosity from the left about how to secure the building how security failed. There is no Jan 6th memorial bcs no one died that day other than an “insurrectionist”","@MF-zd1nr","https://yt3.ggpht.com/ytc/AIdro_kexSU46w6cYLAw7n2skj-kjy6uv4tRLz7Q3K1rsh5kWb6z0DWyfRdUElppkPxsBgt36Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@MF-zd1nr","UCxey1skxt5yRkHXAU2eqoZg","TRUE","none","0","2024-03-18T02:34:02Z","2024-03-18T02:34:02Z","UgxgowTIqXqMqjJlcwl4AaABAg",NA,NA
"12","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","America vs. America right there","America vs. America right there","@josiahareola4924","https://yt3.ggpht.com/HLXAlXEy1L4DeDHwhX-MUhm8aAXygQ65BE3Gqn8Z9oAjylxC4AC9RIH-zkfCOfSM67zUCi03Eg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@josiahareola4924","UCTGKghLEKg1aLycf117szIw","TRUE","none","0","2024-03-16T13:20:41Z","2024-03-16T13:20:41Z","Ugwt30YPsEbSIekJ8pp4AaABAg",NA,NA
"13","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","😞😢😭","😞😢😭","@VernaDean","https://yt3.ggpht.com/88RxXG8zJPFlUoHKKOzWOtqCHfSBq0w1YKX9dNcZUCQ-mVubjrubzxvZdB6eQ19OHAvS1nd10A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@VernaDean","UCtCeDNyBOR9mHseqnlWrn8Q","TRUE","none","0","2024-03-02T15:20:25Z","2024-03-02T15:20:25Z","UgzlrEE5bmDZo9hsfCp4AaABAg",NA,NA
"14","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","This literally disgusts me especially when the passengers of United 93 had gave their lives to save that building in 2001","This literally disgusts me especially when the passengers of United 93 had gave their lives to save that building in 2001","@nicolelawless9942","https://yt3.ggpht.com/ytc/AIdro_l4B4Et88vx1Nh-zoDUEExgQBXEzbfzBCApObVOvXyroAdDDlnOOH5OFkBTiMvJuqH4ng=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nicolelawless9942","UCZeh837sFmuoliAS96VlUdw","TRUE","none","1","2024-03-01T16:04:34Z","2024-03-01T16:04:34Z","UgwV9cGJ8oqjE45QP-x4AaABAg",NA,NA
"15","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","When Tiananmen Square was occupied by demonstrators, they called it an act of democracy. When the Legislative Council of Hong Kong was stormed by demonstrators, they called it an act of democracy. When the Orange-clad demonstrators gathered in the Independence Square in Kyiv, they called it an act of democracy . When their own capitol building was occupied by demonstrators , they called it a criminal act…Oh the hypocrisy ! Oh the double standard!","When Tiananmen Square was occupied by demonstrators, they called it an act of democracy. When the Legislative Council of Hong Kong was stormed by demonstrators, they called it an act of democracy. When the Orange-clad demonstrators gathered in the Independence Square in Kyiv, they called it an act of democracy . When their own capitol building was occupied by demonstrators , they called it a criminal act…Oh the hypocrisy ! Oh the double standard!","@hooterslcxlzyn","https://yt3.ggpht.com/ytc/AIdro_n1UNmK7RkauPigkt9eI_WLlFbU8Nd7hoKJObprgCo472I=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@hooterslcxlzyn","UCNn27llPOzWWZlzoB89kJXA","TRUE","none","0","2024-02-29T08:06:10Z","2024-02-29T08:06:10Z","Ugz39gCR3_QQ5mDVLq14AaABAg",NA,NA
"16","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Tucker, this was clearly a plan made by Pelosi. Why isnt she being arrested. Its so obvious. She made and executed this plan. All to frame Trump, which would get him out of the way for 2024. How stupid are all these investigarors. Just say it Tucker, Pelosi was behind it.","Tucker, this was clearly a plan made by Pelosi. Why isnt she being arrested. Its so obvious. She made and executed this plan. All to frame Trump, which would get him out of the way for 2024. How stupid are all these investigarors. Just say it Tucker, Pelosi was behind it.","@jetskispearfishingadventur9704","https://yt3.ggpht.com/6X3pZkwIWJpn0gVN8KsmbiS_OKTYi-P4aMrNC_sdDmg_wBHmMI9EpbV3YdmdBvOX_qTB1fKcUQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jetskispearfishingadventur9704","UCYFywIk-wCDWY7hrFIdMgjw","TRUE","none","0","2024-02-29T05:11:51Z","2024-02-29T05:11:51Z","UgwI_CxydSGPmE4TL5B4AaABAg",NA,NA
"17","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","I’m Canadian and I still think of this day all the time. So sad!","I’m Canadian and I still think of this day all the time. So sad!","@nc8414","https://yt3.ggpht.com/ytc/AIdro_nEZ8y92c5yDa_PjmytMliwoIFQbmm_1MTahbUrSj_kQ18=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nc8414","UCEG7YNWzEsWIYnkJTZ0JMUQ","TRUE","none","1","2024-02-25T07:56:09Z","2024-02-25T07:56:09Z","Ugwv79vgajJ2Dg93qiJ4AaABAg",NA,NA
"18","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","I HATE TRUMP! I HATE HIM SO MUCH!!!","I HATE TRUMP! I HATE HIM SO MUCH!!!","@davidlaya939","https://yt3.ggpht.com/mEfxP7VYMGz2mVc0ep998pOVaAqYaLHD2W9S38nKHw_4KgQMu-qDHwCXPsDnb72J_qdKUzhUxg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@davidlaya939","UCLo-HH0YIljFz1p8lQRshHQ","TRUE","none","3","2024-02-25T05:04:51Z","2024-02-25T05:04:51Z","Ugx7FSvIv-8csu6NHQt4AaABAg",NA,NA
"19","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Wow this is certainly missing some footage hahaha imagine being slow enough to believe this when it “happened”","Wow this is certainly missing some footage hahaha imagine being slow enough to believe this when it “happened”","@JYoung-fl8fc","https://yt3.ggpht.com/ytc/AIdro_lm_zOZN6FVCMC9XEgozZJNxopPmyd0qspJwRJFxH0emdOvBN8EgbvmEsBy4G2A8EPFaA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JYoung-fl8fc","UCGlANVstDviyyZ_gfzJyKDg","TRUE","none","0","2024-02-22T12:23:04Z","2024-02-22T12:23:04Z","UgxPugAEvB2nUu1Do9J4AaABAg",NA,NA
"20","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Biden using genjutsu","Biden using genjutsu","@NickolaySheitanov","https://yt3.ggpht.com/ytc/AIdro_mgafZjgH_oNE3hUxvN2F0edbmQZeY8_wtKF90OgZXvM5Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@NickolaySheitanov","UCO0SnVI7usodG7WEEaR4JxQ","TRUE","none","0","2024-02-21T07:26:04Z","2024-02-21T07:26:04Z","Ugzt7FVXDI_N7r1c9Wd4AaABAg",NA,NA
"21","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","What would your founding fathers think of this?","What would your founding fathers think of this?","@JaiAcuneIdeeQuoiMettreIci","https://yt3.ggpht.com/BealElB1zSIzqYV2vIST_OROhvzS0IT3bGwVHXap4UGQUhcJuxj35whO8Rk-hiEQm9Ga3Et-=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JaiAcuneIdeeQuoiMettreIci","UCPnNBe-M_rb01rzQxGDjHWQ","TRUE","none","0","2024-02-19T01:12:38Z","2024-02-19T01:12:38Z","UgxW8D8s4AxvqH_-a8F4AaABAg",NA,NA
"22","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","my brithday ❤","my brithday ❤","@Bl3ann","https://yt3.ggpht.com/8QuUW7_NSpGxM5w2ucvlGY4xpfVjN7Blk2wu8GG4OOdRGNbdBbNjO6SnaJ3DFHTvyV2_wsuavg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Bl3ann","UCpK7jXl7ExBh8B33IkQHbMw","TRUE","none","0","2024-02-17T14:23:23Z","2024-02-17T14:23:23Z","UgxXZi02Q9kBs9FXeGh4AaABAg",NA,NA
"23","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Trump should of done jail ....thats crazy 🤪","Trump should of done jail ....thats crazy 🤪","@stevesalkas9128","https://yt3.ggpht.com/ytc/AIdro_meLtS1C8gl1i7ctdw977aqXq65ZlRYz3nJcpNHxhajLNpRpb2AVHlBghoDuIef2xu6gQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@stevesalkas9128","UCHh3PawsIZZT7NxSjYd-UPw","TRUE","none","0","2024-02-04T12:22:41Z","2024-02-04T12:22:41Z","UgxIx8Ccsv2GdOU8L5N4AaABAg",NA,NA
"24","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Israel🇮🇱, America🇺🇸, and cops for Preident Trump in 2024✊️🇺🇸<br>FIGHT the woke Left open border fascists!","Israel🇮🇱, America🇺🇸, and cops for Preident Trump in 2024✊️🇺🇸
FIGHT the woke Left open border fascists!","@pinebarrenpatriot8289","https://yt3.ggpht.com/bt1HSL2KgeQ_PlYzZKAUcf-9wJptaN7XEdzGdf6qfT98YKg1YNJFfJCnCabxlW56Tq0hH7v2dfw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@pinebarrenpatriot8289","UCUa71OrGZZW-paUawi0wLNw","TRUE","none","0","2024-02-03T20:20:26Z","2024-02-03T20:20:26Z","UgzpPqSMOARPrzdGpH94AaABAg",NA,NA
"25","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","American politics is a f!@#%%g joke","American politics is a f!@#%%g joke","@DaddyBusch","https://yt3.ggpht.com/FOOBjIBiCEAOQsUpLdj_PFJ0forsRsxit8tFPk-Pe7Q-HsEac0j2UAPspbidnlNSheENvBW-sDI=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DaddyBusch","UC2KhdnbbW6fQmQXe34n6Yrg","TRUE","none","0","2024-02-03T20:06:16Z","2024-02-03T20:06:16Z","UgwkTxwIUlavkCPJGwt4AaABAg",NA,NA
"26","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Anywhere the wind blows the totality of entities, the whole of reality, everything that<br>shapes our existence will be aware of your mentality.    Freely ye received, freely give.<br>Your golden name is not the light.  A definition of a word and it&#39;s abilities to define, is enlightenment.  Only truth is provided by a word.  True testimony can only<br>be accurate if it can be defined by all of mankind. Glory is grace and truth.  Only<br>reputation of truth provides honest love for mother and father.  We are with you and will save you, though we completely destroy all the nations among which we scatter you, we will not completely destroy you.  We will discipline you; but only in due measure.   We will not let you go entirely unpunished for your deviantcy to words.  Can you feel the gas in the air tonight?  Young people, do you know what I mean?  This is real life, not some fantasy.  We are not heading for a breakdown!  We all see with our own two eyes!  We know your alias, calling glory!","Anywhere the wind blows the totality of entities, the whole of reality, everything that
shapes our existence will be aware of your mentality.    Freely ye received, freely give.
Your golden name is not the light.  A definition of a word and it's abilities to define, is enlightenment.  Only truth is provided by a word.  True testimony can only
be accurate if it can be defined by all of mankind. Glory is grace and truth.  Only
reputation of truth provides honest love for mother and father.  We are with you and will save you, though we completely destroy all the nations among which we scatter you, we will not completely destroy you.  We will discipline you; but only in due measure.   We will not let you go entirely unpunished for your deviantcy to words.  Can you feel the gas in the air tonight?  Young people, do you know what I mean?  This is real life, not some fantasy.  We are not heading for a breakdown!  We all see with our own two eyes!  We know your alias, calling glory!","@EnlightenedIllusions","https://yt3.ggpht.com/1Ix8gLtrJUew_0HtCYZKjxmRx14Q_WcyBUfNVyuCB9eX8XOuvFoc2Ycai1lll7jrq96oHpTJqA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@EnlightenedIllusions","UC3hpyzF0NmtYhQAkSXYa-2Q","TRUE","none","0","2024-02-02T15:53:32Z","2024-02-02T15:56:41Z","Ugzz3u_I_w--yfgCO414AaABAg",NA,NA
"27","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","You know the truth will come out a bunch of news organizations are going to lose their job because you keep pushing your narrative remember there&#39;s more of us than there are you and you are outnumbered","You know the truth will come out a bunch of news organizations are going to lose their job because you keep pushing your narrative remember there's more of us than there are you and you are outnumbered","@kurtshelton9802","https://yt3.ggpht.com/ytc/AIdro_key_AzIJZxMO-W9DHUCfD8NqETpAvqJ-B4BZflthw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kurtshelton9802","UCXwwr8UYdn5piFgmgRIwjzg","TRUE","none","0","2024-01-28T20:19:37Z","2024-01-28T20:19:37Z","Ugw6ivOQS0CGscb2O2J4AaABAg",NA,NA
"28","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Liberals caught on video trying to scrub hard drives clean and can be overheard saying Pelosi and Hillary told them to triple check to make sure drives are clean.","Liberals caught on video trying to scrub hard drives clean and can be overheard saying Pelosi and Hillary told them to triple check to make sure drives are clean.","@petermiller3774","https://yt3.ggpht.com/ytc/AIdro_nNmh2A0M5zRDnAstukgst7r0vs_KkO7ZcfQTzyWvs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@petermiller3774","UC6VOP_WAcBRjQ5aDFktOF-Q","TRUE","none","1","2024-01-22T17:03:32Z","2024-01-22T17:03:32Z","UgwXXgnyelh6ln1Rhbt4AaABAg",NA,NA
"29","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","The liberals has been funding the Chinese laboratory where covid 19 came from and also the one in Ukraine which hunter biden received alot of money from","The liberals has been funding the Chinese laboratory where covid 19 came from and also the one in Ukraine which hunter biden received alot of money from","@petermiller3774","https://yt3.ggpht.com/ytc/AIdro_nNmh2A0M5zRDnAstukgst7r0vs_KkO7ZcfQTzyWvs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@petermiller3774","UC6VOP_WAcBRjQ5aDFktOF-Q","TRUE","none","1","2024-01-22T16:45:54Z","2024-01-22T16:45:54Z","UgykJ7P7sdmFHKkPQC94AaABAg",NA,NA
"30","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Breaking news the January 6 committee tried to erase all files and names from hard drives. What they don&#39;t know is all the information has been captured and will be used for prosecution against the committee showing they deceived the American CITIZENS.  Each one will be prosecuted to the fullest extreme  possible.","Breaking news the January 6 committee tried to erase all files and names from hard drives. What they don't know is all the information has been captured and will be used for prosecution against the committee showing they deceived the American CITIZENS.  Each one will be prosecuted to the fullest extreme  possible.","@petermiller3774","https://yt3.ggpht.com/ytc/AIdro_nNmh2A0M5zRDnAstukgst7r0vs_KkO7ZcfQTzyWvs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@petermiller3774","UC6VOP_WAcBRjQ5aDFktOF-Q","TRUE","none","1","2024-01-22T16:44:26Z","2024-01-22T16:44:26Z","Ugy8U16s8E4IYzWVb6Z4AaABAg",NA,NA
"31","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Clown 👏 world 😢","Clown 👏 world 😢","@3-7-77MT","https://yt3.ggpht.com/nD2H1SiIJGfeaDZtGhxPsof4egMJJDg4C4WURmAFI1ZKO3GBPNd9qRNlWkTi2lrW5w2FpOir=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@3-7-77MT","UC3F9gUpI-sv4wmbLYrLXYMA","TRUE","none","0","2024-01-21T23:30:12Z","2024-01-21T23:30:12Z","UgyaQDrl1E2Ga5pkD114AaABAg",NA,NA
"32","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Ah yes. The nothing burger day Dems try and make into something it never was.<br>Trump2024","Ah yes. The nothing burger day Dems try and make into something it never was.
Trump2024","@thedude9199","https://yt3.ggpht.com/ytc/AIdro_k02fhW9x-XmRpWRL6Xt-mdHizXhiwdfCI1hna4ay4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@thedude9199","UCWX4Xx3OXZGzyIrj72t_mOQ","TRUE","none","1","2024-01-21T13:16:40Z","2024-01-21T13:16:40Z","UgwsZpwWI0eSF-3L84Z4AaABAg",NA,NA
"33","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Good job they weren&#39;t BLM supporters, they would have burnt i down.","Good job they weren't BLM supporters, they would have burnt i down.","@user-ou4ls1sh3n","https://yt3.ggpht.com/ytc/AIdro_mIwmOWixO3beIzPS1KrkOcL7bCtFf4JjSrxK3XBh3w8AGlMUaGWuQGy0UKisQHftHW9Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-ou4ls1sh3n","UCcGNYftmtC-2c0EwQEKP2cg","TRUE","none","1","2024-01-21T11:56:40Z","2024-01-21T11:56:40Z","UgyPZvCEaYVDQxaLXrd4AaABAg",NA,NA
"34","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Fake news Trump won and Trump is innocent.","Fake news Trump won and Trump is innocent.","@georgenav","https://yt3.ggpht.com/ytc/AIdro_kB7OtiYjGVFd9UzxarnRKTnnxE70AWXczPLsDVQgU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@georgenav","UC6TI9ZQ3ogdV0h6objyJTtg","TRUE","none","2","2024-01-21T04:48:29Z","2024-01-21T04:48:29Z","UgzIU9W5mWd0UFvzSih4AaABAg",NA,NA
"35","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","WWG1WGA","WWG1WGA","@Trollstarz","https://yt3.ggpht.com/ytc/AIdro_koRtQTuIwjQ4FP3RZVg1uE66PaOdUeqFgH8lWkw-1bt37GjlJuRBJ7yTL7l5mFm3VeNQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Trollstarz","UCHqzJn_ipbGJ-MdmjE-AQWw","TRUE","none","0","2024-01-20T17:25:26Z","2024-01-20T17:25:26Z","UgzrnXD6Kt9OlSqDxot4AaABAg",NA,NA
"36","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","Viva el révolution !!!!","Viva el révolution !!!!","@daniel-raoulrobert9397","https://yt3.ggpht.com/ytc/AIdro_kxXsF_X5cxy1O-GtoK0GplPqbIsQ95bXIoghTMdlE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@daniel-raoulrobert9397","UCExVocDtozfUsdmrQjcsYWg","TRUE","none","1","2024-01-11T05:37:31Z","2024-01-11T05:37:31Z","UgyB_sy8QOxsdaplrER4AaABAg",NA,NA
"37","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","I like that they have 6 million subscribers and only 1 k likes","I like that they have 6 million subscribers and only 1 k likes","@user-gx6gv7jm5t","https://yt3.ggpht.com/ytc/AIdro_k6E7UTsF655DeERRis1BYvl8uSsF973x_Fdovm3dYObcg6BnyGOi5TiYl_QS1VWQCHTQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-gx6gv7jm5t","UCWAWWisUwBIMN9dJGnqVZug","TRUE","none","0","2024-01-11T04:15:53Z","2024-01-11T04:15:53Z","UgwmJjtWH62PqZTzkBR4AaABAg",NA,NA
"38","UCaXkIU1QidjPwiAYu6GcHjg","BdSts0khChE","The chants wishing death on their political opponents, even within their own party, and with Trump still having a following, really goes to show how American democracy is in danger. It&#39;s beyond disturbing that Trump embraces this following, as well as the fact that Trump wishes death upon his political opponents. If he wins in 2024, even after being impeached, trying to launch an insurrection, supporting neo-confederates wishing death on his own vice president, American democracy will be truly dead.","The chants wishing death on their political opponents, even within their own party, and with Trump still having a following, really goes to show how American democracy is in danger. It's beyond disturbing that Trump embraces this following, as well as the fact that Trump wishes death upon his political opponents. If he wins in 2024, even after being impeached, trying to launch an insurrection, supporting neo-confederates wishing death on his own vice president, American democracy will be truly dead.","@user-tv9fr9vs7s","https://yt3.ggpht.com/ytc/AIdro_kmZYzKVWQjJAUlnH7IlLfloqTLqWwElYOqabfpVNV6I-jDwgTR-fRhzJ0ofbX0v5rhbA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-tv9fr9vs7s","UC0G0WKExv4ElEPFUFyKLrPA","TRUE","none","1","2024-01-09T11:56:17Z","2024-01-09T11:56:17Z","Ugz-gyAzt7AqszQCEVd4AaABAg",NA,NA
